no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
23,잠실역주차장,346,112,2020-09-21 04,15
24,적선노외,28,20,2020-09-21 04,15
25,종묘,1317,969,2020-09-21 04,15
26,천왕역,328,273,2020-09-21 04,15
27,천호역,1432,838,2020-09-21 04,15
28,학여울역,180,133,2020-09-21 04,15
29,한강진역,176,141,2020-09-21 04,15
30,화랑대역주차장,319,279,2020-09-21 04,15
31,훈련원공원,873,674,2020-09-21 04,15
1,DDP동측(양쪽),20,20,2020-09-21 05,15
2,웃우물공영,79,16,2020-09-21 05,15
3,가양라이품,38,31,2020-09-21 05,15
4,개화산역주차장,322,267,2020-09-21 05,15
5,개화역,483,348,2020-09-21 05,15
6,구로디지털단지역,92,61,2020-09-21 05,15
7,구파발역,399,362,2020-09-21 05,15
8,장안2동,80,23,2020-09-21 05,15
9,동대문공영주차장,1092,857,2020-09-21 05,15
10,마포유수지주차장,505,315,2020-09-21 05,15
11,복정역공영주차장,363,271,2020-09-21 05,15
12,사당노외,184,108,2020-09-21 05,15
13,서린노외주차장,38,34,2020-09-21 05,15
14,세종로,1260,1135,2020-09-21 05,15
15,수락산역,157,122,2020-09-21 05,15
16,수서역남,18,13,2020-09-21 05,15
17,수서역북주차장,553,475,2020-09-21 05,15
18,신대방역,60,25,2020-09-21 05,15
19,신방화역,199,78,2020-09-21 05,15
20,신천유수지주차장,164,188,2020-09-21 05,15
21,영등포구청역,137,65,2020-09-21 05,15
22,용산주차빌딩,561,383,2020-09-21 05,15
23,잠실역주차장,346,112,2020-09-21 05,15
24,적선노외,28,22,2020-09-21 05,15
25,종묘,1317,967,2020-09-21 05,15
26,천왕역,328,273,2020-09-21 05,15
27,천호역,1432,834,2020-09-21 05,15
28,학여울역,180,133,2020-09-21 05,15
29,한강진역,176,139,2020-09-21 05,15
30,화랑대역주차장,319,279,2020-09-21 05,15
31,훈련원공원,873,669,2020-09-21 05,15
1,DDP동측(양쪽),20,20,2020-09-21 06,14
2,웃우물공영,79,13,2020-09-21 06,14
3,가양라이품,38,31,2020-09-21 06,14
4,개화산역주차장,322,256,2020-09-21 06,14
5,개화역,483,330,2020-09-21 06,14
6,구로디지털단지역,92,60,2020-09-21 06,14
7,구파발역,399,355,2020-09-21 06,14
8,장안2동,80,24,2020-09-21 06,14
9,동대문공영주차장,1092,958,2020-09-21 06,14
10,마포유수지주차장,505,316,2020-09-21 06,14
11,복정역공영주차장,363,272,2020-09-21 06,14
12,사당노외,184,111,2020-09-21 06,14
13,서린노외주차장,38,34,2020-09-21 06,14
14,세종로,1260,1133,2020-09-21 06,14
15,수락산역,157,118,2020-09-21 06,14
16,수서역남,18,12,2020-09-21 06,14
17,수서역북주차장,553,475,2020-09-21 06,14
18,신대방역,60,25,2020-09-21 06,14
19,신방화역,199,80,2020-09-21 06,14
20,신천유수지주차장,164,188,2020-09-21 06,14
21,영등포구청역,137,65,2020-09-21 06,14
22,용산주차빌딩,561,382,2020-09-21 06,14
23,잠실역주차장,346,107,2020-09-21 06,14
24,적선노외,28,26,2020-09-21 06,14
25,종묘,1317,957,2020-09-21 06,14
26,천왕역,328,264,2020-09-21 06,14
27,천호역,1432,830,2020-09-21 06,14
28,학여울역,180,132,2020-09-21 06,14
29,한강진역,176,136,2020-09-21 06,14
30,화랑대역주차장,319,269,2020-09-21 06,14
31,훈련원공원,873,653,2020-09-21 06,14
1,DDP동측(양쪽),20,20,2020-09-21 06,14
2,웃우물공영,79,13,2020-09-21 06,14
3,가양라이품,38,31,2020-09-21 06,14
4,개화산역주차장,322,256,2020-09-21 06,14
5,개화역,483,330,2020-09-21 06,14
6,구로디지털단지역,92,60,2020-09-21 06,14
7,구파발역,399,355,2020-09-21 06,14
8,장안2동,80,24,2020-09-21 06,14
9,동대문공영주차장,1092,958,2020-09-21 06,14
10,마포유수지주차장,505,316,2020-09-21 06,14
11,복정역공영주차장,363,272,2020-09-21 06,14
12,사당노외,184,111,2020-09-21 06,14
13,서린노외주차장,38,34,2020-09-21 06,14
14,세종로,1260,1133,2020-09-21 06,14
15,수락산역,157,118,2020-09-21 06,14
16,수서역남,18,12,2020-09-21 06,14
17,수서역북주차장,553,475,2020-09-21 06,14
18,신대방역,60,25,2020-09-21 06,14
19,신방화역,199,80,2020-09-21 06,14
20,신천유수지주차장,164,188,2020-09-21 06,14
21,영등포구청역,137,65,2020-09-21 06,14
22,용산주차빌딩,561,383,2020-09-21 06,14
23,잠실역주차장,346,107,2020-09-21 06,14
24,적선노외,28,26,2020-09-21 06,14
25,종묘,1317,957,2020-09-21 06,14
26,천왕역,328,264,2020-09-21 06,14
27,천호역,1432,830,2020-09-21 06,14
28,학여울역,180,132,2020-09-21 06,14
29,한강진역,176,136,2020-09-21 06,14
30,화랑대역주차장,319,269,2020-09-21 06,14
31,훈련원공원,873,653,2020-09-21 06,14
1,DDP동측(양쪽),20,20,2020-09-21 07,14
2,웃우물공영,79,16,2020-09-21 07,14
3,가양라이품,38,29,2020-09-21 07,14
4,개화산역주차장,322,207,2020-09-21 07,14
5,개화역,483,264,2020-09-21 07,14
6,구로디지털단지역,92,58,2020-09-21 07,14
7,구파발역,399,324,2020-09-21 07,14
8,장안2동,80,25,2020-09-21 07,14
9,동대문공영주차장,1092,959,2020-09-21 07,14
10,마포유수지주차장,505,302,2020-09-21 07,14
11,복정역공영주차장,363,251,2020-09-21 07,14
12,사당노외,184,101,2020-09-21 07,14
13,서린노외주차장,38,32,2020-09-21 07,14
14,세종로,1260,1107,2020-09-21 07,14
15,수락산역,157,104,2020-09-21 07,14
16,수서역남,18,4,2020-09-21 07,14
17,수서역북주차장,553,412,2020-09-21 07,14
18,신대방역,60,29,2020-09-21 07,14
19,신방화역,199,73,2020-09-21 07,14
20,신천유수지주차장,164,177,2020-09-21 07,14
21,영등포구청역,137,63,2020-09-21 07,14
22,용산주차빌딩,561,372,2020-09-21 07,14
23,잠실역주차장,346,102,2020-09-21 07,14
24,적선노외,28,21,2020-09-21 07,14
25,종묘,1317,919,2020-09-21 07,14
26,천왕역,328,251,2020-09-21 07,14
27,천호역,1432,781,2020-09-21 07,14
28,학여울역,180,119,2020-09-21 07,14
29,한강진역,176,127,2020-09-21 07,14
30,화랑대역주차장,319,242,2020-09-21 07,14
31,훈련원공원,873,615,2020-09-21 07,14
1,DDP동측(양쪽),20,20,2020-09-21 08,15
2,웃우물공영,79,15,2020-09-21 08,15
3,가양라이품,38,25,2020-09-21 08,15
4,개화산역주차장,322,144,2020-09-21 08,15
5,개화역,483,151,2020-09-21 08,15
6,구로디지털단지역,92,47,2020-09-21 08,15
7,구파발역,399,240,2020-09-21 08,15
8,장안2동,80,25,2020-09-21 08,15
9,동대문공영주차장,1092,955,2020-09-21 08,15
10,마포유수지주차장,505,301,2020-09-21 08,15
