no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
6,구로디지털단지역,92,56,2020-11-02 10,11
7,구파발역,399,107,2020-11-02 10,11
8,장안2동,80,30,2020-11-02 10,11
9,동대문공영주차장,1092,830,2020-11-02 10,11
10,마포유수지주차장,505,232,2020-11-02 10,11
11,복정역공영주차장,363,24,2020-11-02 10,11
12,사당노외,184,70,2020-11-02 10,11
13,서린노외주차장,38,20,2020-11-02 10,11
14,세종로,1260,801,2020-11-02 10,11
15,수락산역,157,8,2020-11-02 10,11
16,수서역남,18,1,2020-11-02 10,11
17,수서역북주차장,553,73,2020-11-02 10,11
18,신대방역,60,11,2020-11-02 10,11
19,신방화역,199,47,2020-11-02 10,11
20,신천유수지주차장,164,62,2020-11-02 10,11
21,영등포구청역,137,27,2020-11-02 10,11
22,용산주차빌딩,561,142,2020-11-02 10,11
23,잠실역주차장,346,129,2020-11-02 10,11
24,적선노외,11,-18,2020-11-02 10,11
25,종묘,1317,463,2020-11-02 10,11
26,천왕역,328,4,2020-11-02 10,11
27,천호역,1432,104,2020-11-02 10,11
28,학여울역,180,54,2020-11-02 10,11
29,한강진역,176,86,2020-11-02 10,11
30,화랑대역주차장,319,0,2020-11-02 10,11
31,훈련원공원,873,250,2020-11-02 10,11
1,DDP동측(양쪽),20,20,2020-11-02 11,12
2,웃우물공영,79,30,2020-11-02 11,12
3,가양라이품,38,0,2020-11-02 11,12
4,개화산역주차장,322,22,2020-11-02 11,12
5,개화역,483,75,2020-11-02 11,12
6,구로디지털단지역,92,49,2020-11-02 11,12
7,구파발역,399,86,2020-11-02 11,12
8,장안2동,80,31,2020-11-02 11,12
9,동대문공영주차장,1092,789,2020-11-02 11,12
10,마포유수지주차장,505,215,2020-11-02 11,12
11,복정역공영주차장,363,16,2020-11-02 11,12
12,사당노외,184,61,2020-11-02 11,12
13,서린노외주차장,38,11,2020-11-02 11,12
14,세종로,1260,770,2020-11-02 11,12
15,수락산역,157,0,2020-11-02 11,12
16,수서역남,18,2,2020-11-02 11,12
17,수서역북주차장,553,67,2020-11-02 11,12
18,신대방역,60,10,2020-11-02 11,12
19,신방화역,199,43,2020-11-02 11,12
20,신천유수지주차장,164,55,2020-11-02 11,12
21,영등포구청역,137,29,2020-11-02 11,12
22,용산주차빌딩,561,95,2020-11-02 11,12
23,잠실역주차장,346,110,2020-11-02 11,12
24,적선노외,11,-18,2020-11-02 11,12
25,종묘,1317,324,2020-11-02 11,12
26,천왕역,328,0,2020-11-02 11,12
27,천호역,1432,60,2020-11-02 11,12
28,학여울역,180,53,2020-11-02 11,12
29,한강진역,176,75,2020-11-02 11,12
30,화랑대역주차장,319,1,2020-11-02 11,12
31,훈련원공원,873,188,2020-11-02 11,12
1,DDP동측(양쪽),20,20,2020-11-02 12,13
2,웃우물공영,79,28,2020-11-02 12,13
3,가양라이품,38,0,2020-11-02 12,13
4,개화산역주차장,322,18,2020-11-02 12,13
5,개화역,483,71,2020-11-02 12,13
6,구로디지털단지역,92,43,2020-11-02 12,13
7,구파발역,399,75,2020-11-02 12,13
8,장안2동,80,32,2020-11-02 12,13
9,동대문공영주차장,1092,809,2020-11-02 12,13
10,마포유수지주차장,505,202,2020-11-02 12,13
11,복정역공영주차장,363,15,2020-11-02 12,13
12,사당노외,184,58,2020-11-02 12,13
13,서린노외주차장,38,21,2020-11-02 12,13
14,세종로,1260,743,2020-11-02 12,13
15,수락산역,157,0,2020-11-02 12,13
16,수서역남,18,2,2020-11-02 12,13
17,수서역북주차장,553,74,2020-11-02 12,13
18,신대방역,60,14,2020-11-02 12,13
19,신방화역,199,41,2020-11-02 12,13
20,신천유수지주차장,164,53,2020-11-02 12,13
21,영등포구청역,137,20,2020-11-02 12,13
